Hotel_Name,Hotel_Address,Average_Score,lat,lng,location,country,address
Novotel Paris 17,34 Avenue Porte d Asni res 17th arr 75017 Paris France,7.9,48.8920485,2.3023791,Paris,France,"34, Avenue De La Porte d'Asnières, Batignolles, Paris, Paris, 75017, France"
Rafayel Hotel Spa,34 Lombard Road Battersea London SW11 3RF United Kingdom,8.0,51.4703604,-0.1779869,London,United Kingdom,"Rafayel on the Left Bank, 34, Lombard Road, Battersea, London Borough of Wandsworth, London, Greater London, England, SW11 3RF, United Kingdom"
Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,7.9,51.5162883,-0.1721078,London,United Kingdom,"34, Norfolk Crescent, Paddington, London, Greater London, W2 2YS, United Kingdom"
Artus Hotel by MH,34 Rue de Buci 6th arr 75006 Paris France,9.0,48.8535639,2.3360169,Paris,France,"34, Rue De Buci, Saint-Germain-des-Pres, Paris, Paris, 75006, France"
Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,8.9,48.8814425,2.3235592,Paris,France,"34, Rue De Moscou, l'Europe, Paris, Paris, 75008, France"
Timhotel Op ra Blanche Fontaine,34 Rue Fontaine 9th arr 75009 Paris France,8.4,48.8825781,2.3334805,Paris,France,"34, Rue Pierre Fontaine, Saint-Georges, Paris, Paris, 75009, France"
H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008 Paris France,9.1,48.8716831,2.3123759,Paris,France,"34, Rue Jean Mermoz, La Madeleine, Paris, Paris, 75008, France"
H tel Gustave,34 Rue Viala 15th arr 75015 Paris France,8.8,48.8502052,2.289043,Paris,France,"34, Rue Viala, Grenelle, Paris, Paris, 75015, France"
Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,6.6,51.521148,-0.171346,London,United Kingdom,"Edgware Road, Paddington, London, Greater London, W2 2JE, United Kingdom"
Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,8.4,51.490724,-0.143868,London,United Kingdom,"35-39, St George's Drive, Pimlico, London, Greater London, SW1V 4DG, United Kingdom"
Best Western Tour Eiffel Invalides,35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,7.9,48.8593152,2.3104179,Paris,France,"35, Boulevard De La Villette, l'Hopital Saint-Louis, Paris, Paris, 75010, France"
The Chesterfield Mayfair,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,9.1,51.5076899,-0.1471358,London,United Kingdom,"35, Charles Street, Mayfair, London, Greater London, W1J 5EB, United Kingdom"
My Chelsea,35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,8.2,51.4919083,-0.1684398,London,United Kingdom,"Sonder – Chelsea Green, 35, Ixworth Place, Hans Town, Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 3QH, United Kingdom"
Eiffel Trocad ro,35 Rue Benjamin Franklin 16th arr 75016 Paris France,8.0,48.8613055,2.2862823,Paris,France,"35, Rue Benjamin Franklin, La Muette, Paris, Paris, 75016, France"
Hotel Saint Petersbourg Opera,35 Rue Caumartin 9th arr 75009 Paris France,8.9,48.872174,2.328075,Paris,France,"35, Rue De Caumartin, Chaussee d'Antin, Paris, Paris, 75009, France"
H tel Champs lys es Plaza,35 Rue De Berri 8th arr 75008 Paris France,8.7,48.8737043,2.3061477,Paris,France,"35, Rue De Berri, Faubourg du Roule, Paris, Paris, 75008, France"
Melia Paris Tour Eiffel,35 Rue Jean Goujon 8th arr 75008 Paris France,8.1,48.8651994,2.3045076,Paris,France,"35, Rue Jean Goujon, Champs-Elysees, Paris, Paris, 75008, France"
Timhotel Op ra Grands Magasins,35 Rue La Bruy re 9th arr 75009 Paris France,8.3,48.8794682,2.3334957,Paris,France,"35, Rue La Bruyère, Saint-Georges, Paris, Paris, 75009, France"
Dukes Hotel,35 St James s Place Westminster Borough London SW1A 1NY United Kingdom,8.6,51.5055381,-0.1396885,London,United Kingdom,"Borough, London, Greater London, SE1 0DB, United Kingdom"
Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,8.1,51.5146025,-0.1481978,London,United Kingdom,"New Oxford Street, St Giles, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1A 1HL, United Kingdom"
Pestana Chelsea Bridge Hotel Spa,354 Queenstown Road Battersea London SW8 4AE United Kingdom,8.6,51.4815995,-0.1481053,London,United Kingdom,"354, Queenstown Road, Battersea, London, Greater London, SW11 8NH, United Kingdom"
Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,8.4,51.5126488,-0.1803795,London,United Kingdom,"37, Rutland Gate, Knightsbridge, London, Greater London, SW7 1JH, United Kingdom"
Mercure Paris Porte De Versailles Expo,36 38 Rue Du Moulin 92170 Paris France,7.7,48.8268251,2.2912033,Unknown,France,"Rue du Moulin, Quartier Saint-Lambert, 15th Arrondissement, Paris, Vanves, Boulogne-Billancourt, Hauts-de-Seine, Ile-de-France, Metropolitan France, 75015, France"
Great St Helen Hotel,36 Great st Helens City of London London EC3A 6AP United Kingdom,7.4,51.5149583,-0.0823869,City of London,United Kingdom,"Great St. Helens, Bishopsgate, City of London, Greater London, England, EC2N 4AH, United Kingdom"
Hotel Whistler,36 rue de Saint Quentin 10th arr 75010 Paris France,9.2,48.879314,2.3560185,Paris,France,"36, Rue De Saint-Quentin, Saint-Vincent-de-Paul, Paris, Paris, 75010, France"
Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,8.8,48.8632723,2.352691,Paris,France,"36, Rue Du Grenier Saint-Lazare, Sainte-Avoie, Paris, Paris, 75003, France"
Westside Arc de Triomphe Hotel,36 rue Pierre Demours 17th arr 75017 Paris France,8.1,48.8811741,2.2948337,Paris,France,"36, Rue Pierre Demours, Ternes, Paris, Paris, 75017, France"
Etoile Saint Ferdinand,36 rue Saint Ferdinand 17th arr 75017 Paris France,8.3,48.8777895,2.2872498,Paris,France,"36, Rue Saint-Ferdinand, Ternes, Paris, Paris, 75017, France"
H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002 Paris France,9.3,48.8708863,2.3382128,Paris,France,"36, Rue Saint-Marc, Vivienne, Paris, Paris, 75002, France"
